,ID,State,Constituency,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Winner,Margin
0.0,U011001,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1.0,BISHNU PADA RAY,Bharatiya Janata Party,102182.0,254.0,102436.0,50.58,True,24396
1.0,U011002,Andaman & Nicobar Islands,Andaman & Nicobar Islands,2.0,KULDEEP RAI SHARMA,Indian National Congress,77829.0,211.0,78040.0,38.54,False,-24396
2.0,U011003,Andaman & Nicobar Islands,Andaman & Nicobar Islands,3.0,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236.0,18.0,8254.0,4.08,False,-94182
3.0,U011004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,4.0,D AYYAPPAN,Communist Party of India  (Marxist),6009.0,8.0,6017.0,2.97,False,-96419
4.0,U011005,Andaman & Nicobar Islands,Andaman & Nicobar Islands,5.0,V.K. ABDUL AZIZ,Independent,2195.0,8.0,2203.0,1.09,False,-100233
5.0,U011006,Andaman & Nicobar Islands,Andaman & Nicobar Islands,6.0,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911.0,3.0,914.0,0.45,False,-101522
6.0,U011007,Andaman & Nicobar Islands,Andaman & Nicobar Islands,7.0,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714.0,5.0,719.0,0.36,False,-101717
7.0,U011008,Andaman & Nicobar Islands,Andaman & Nicobar Islands,8.0,RINKU MALA MONDAL,Independent,539.0,3.0,542.0,0.27,False,-101894
8.0,U011009,Andaman & Nicobar Islands,Andaman & Nicobar Islands,9.0,K VENKAT RAM BABU,Independent,506.0,1.0,507.0,0.25,False,-101929
9.0,U011010,Andaman & Nicobar Islands,Andaman & Nicobar Islands,10.0,USHA KUMARI,Independent,378.0,2.0,380.0,0.19,False,-102056
10.0,U011011,Andaman & Nicobar Islands,Andaman & Nicobar Islands,11.0,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349.0,2.0,351.0,0.17,False,-102085
11.0,U011012,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12.0,ANAND RAMNATH ARLEKAR,Independent,342.0,,342.0,0.17,False,-102094
12.0,U011013,Andaman & Nicobar Islands,Andaman & Nicobar Islands,13.0,NOTA,None of the Above,1802.0,7.0,1809.0,0.89,False,-100627
13.0,S011001,Andhra Pradesh,Araku (ST),1.0,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470.0,5535.0,477005.0,40.96,True,50580
14.0,S011002,Andhra Pradesh,Araku (ST),2.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113.0,9312.0,426425.0,36.62,False,-50580
15.0,S011003,Andhra Pradesh,Araku (ST),3.0,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016.0,4113.0,123129.0,10.57,False,-353876
16.0,S011004,Andhra Pradesh,Araku (ST),4.0,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858.0,892.0,25750.0,2.21,False,-451255
17.0,S011005,Andhra Pradesh,Araku (ST),5.0,SAMAREDDY BALAKRISHNA,Independent,9493.0,42.0,9535.0,0.82,False,-467470
18.0,S011006,Andhra Pradesh,Araku (ST),6.0,NIMMAKA JAYARAJU,Independent,8798.0,664.0,9462.0,0.81,False,-467543
19.0,S011007,Andhra Pradesh,Araku (ST),7.0,ATHIDHI,Independent,8121.0,15.0,8136.0,0.7,False,-468869
